ADDRESS,CITY,ZIP CODE,PHONE NUMBER,GEOMETRY,Apartment Complex Name
"1741 BRIGHTSIDE DR, BLDG C",BATON ROUGE,70820,,POINT (-91.177844780291 30.385730118092),THE GATES AT BRIGHTSIDE APARTMENTS
11070 MEAD RD,BATON ROUGE,70816,,POINT (-91.058649708673 30.426488441512),WILLOWBEND LAKES APARTMENTS
4209 FORD ST,BATON ROUGE,70807,,POINT (-91.151063000092 30.519504607269),THE RESERVE AT HOWELL PLACE APARTMENTS
1732 BRIGHTSIDE DR,BATON ROUGE,70820,,POINT (-91.177968497478 30.388601362067),BRIGHTSIDE MANOR APARTMENTS
1502 HARWICH DR,BATON ROUGE,70820,,POINT (-91.187238473793 30.389803379181),BRIGHTSIDE QUARTERS APARTMENTS
7652 BLES AVE,BATON ROUGE,70810,,POINT (-91.109262546571 30.392123981961),APARTMENTS
638 CAROL MARIE DR,BATON ROUGE,70806,,POINT (-91.154532710419 30.442248640609),THE VILLAS APARTMENTS
7543 N JEFFERSON PLACE CIR,BATON ROUGE,70809,,POINT (-91.10663266411 30.419814601329),MAISON BOCAGE APARTMENTS AND TOWNHOMES
"5958 CADILLAC ST, BLDG 1101",BATON ROUGE,70811,,POINT (-91.131820930013 30.517790915469),CADILLAC STREET PLACE APARTMENTS
5115 HIGHLAND RD,BATON ROUGE,70808,,POINT (-91.163133508552 30.396858986637),THE HUB APARTMENTS
3669 S COTTAGES AVE,BATON ROUGE,70816,,POINT (-91.055916396089 30.419853315073),COTTAGES AT SOUTHFORK APARTMENTS
16161 TIGER BEND RD,BATON ROUGE,70817,,POINT (-91.00513498858 30.390812518248),BANBURY APARTMENTS
"3002 MASON AVE, BLDG 134",BATON ROUGE,70805,,POINT (-91.161119944019 30.506490597009),MONTE SANO VILLAGE APARTMENTS
9511 CREEKVIEW DR,BATON ROUGE,70836,,POINT (-91.077997489001 30.384322260544),THE BLAKE AT THE GROVE APARTMENTS
10844 KINGFISHER AVE,BATON ROUGE,70807,,POINT (-91.192812144558 30.542230099081),10844 KINGFISHER AVE APARTMENT
8939 JEFFERSON HWY,BATON ROUGE,70809,,POINT (-91.087164744651 30.417456383586),THE ARTS APARTMENTS AT JEFFERSON HEIGHTS
10202 PERKINS ROWE,BATON ROUGE,70810,,POINT (-91.092331958437 30.378328260413),TERRACES AT PERKINS ROWE APARTMENTS
930 N 7TH ST,BATON ROUGE,70802,,POINT (-91.18350206543 30.456309674817),ARSENAL PARK APARTMENTS
3522 MARIE DR,BATON ROUGE,70806,,POINT (-91.153218209924 30.440190071431),THE VILLAS APARTMENTS
977 RITTINER DR,BATON ROUGE,70806,,POINT (-91.160615917079 30.43934486523),APARTMENTS
2936 SYCAMORE ST,BATON ROUGE,70805,,POINT (-91.160920568131 30.494254299727),APARTMENTS
6454 AIRLINE HWY,BATON ROUGE,70805,,POINT (-91.126825826685 30.495103165627),PORT ROYAL APARTMENTS
1690 BRIGHTSIDE DR,BATON ROUGE,70820,,POINT (-91.177005890826 30.388064263187),BRIGHTSIDE MANOR APARTMENTS
3274 NICHOLSON DR,BATON ROUGE,70802,,POINT (-91.187712520584 30.419055273377),APARTMENTS
"11510 SOUTHFORK AVE, BLDG 9B",BATON ROUGE,70816,,POINT (-91.055257037119 30.419867707494),COTTAGES AT SOUTHFORK APARTMENTS
5500 PERKINS RD,BATON ROUGE,70808,,POINT (-91.129894961443 30.409389595302),THE DISTRICT APARTMENTS
1357 N FOSTER DR,BATON ROUGE,70806,,POINT (-91.140663250318 30.460139426855),PROVINCIAL NORTH APARTMENTS
1315 N FOSTER DR,BATON ROUGE,70806,,POINT (-91.140006166312 30.460627033491),PROVINCIAL NORTH APARTMENTS
3033 JULY ST,BATON ROUGE,70808,,POINT (-91.173404278977 30.420620248257),COVENTRY TERRACE APARTMENTS
5051 BAKER BLVD,BAKER,70714,,POINT (-91.146621480572 30.594668709867),GREENWOOD FOREST APARTMENTS
102 RIVER HOUSE PL,BATON ROUGE,70802,,POINT (-91.187697892628 30.433740124676),RIVER HOUSE APARTMENTS
1369 N FOSTER DR,BATON ROUGE,70806,,POINT (-91.14029457172 30.460146493822),PROVINCIAL NORTH APARTMENTS
809 SUMMER BREEZE DR,BATON ROUGE,70810,,POINT (-91.117723505213 30.359110642181),SUMMERWOOD VILLAS APARTMENTS
7975 JEFFERSON PLACE BLVD,BATON ROUGE,70809,,POINT (-91.104096232637 30.422004071951),MAISON BOCAGE APARTMENTS AND TOWNHOMES
1353 JIM TAYLOR DR,BATON ROUGE,70820,,POINT (-91.182569965369 30.391674419743),HIDEAWAY APARTMENTS
3305 CAROL DR,BATON ROUGE,70806,,POINT (-91.15492198076 30.442861221774),VILLA ROSE APARTMENTS 1
7823 JEFFERSON PLACE BLVD,BATON ROUGE,70809,,POINT (-91.104526106386 30.420751946926),MAISON BOCAGE APARTMENTS AND TOWNHOMES
"9989 BURBANK DR, BLDG G",BATON ROUGE,70810,,POINT (-91.113562387314 30.35963342253),THE ARTS APARTMENTS AT BLUEBONNET PLACE
"2000 BRIGHTSIDE DR, BLDG 3",BATON ROUGE,70820,,POINT (-91.181543844249 30.38901282891),RETREAT AT BRIGHTSIDE APARTMENTS
5228 CLAYCUT RD,BATON ROUGE,70806,,POINT (-91.136037288518 30.441053789872),PATRICIAN APARTMENTS
11366 BARD AVE,BATON ROUGE,70815,,POINT (-91.057355326149 30.467555112888),PARK PLACE ON BARD APARTMENTS
558 S ACADIAN THWY,BATON ROUGE,70806,,POINT (-91.153742964761 30.443011780799),THE VILLAS APARTMENTS
"5010 MANCUSO LN, BLDG 5",BATON ROUGE,70809,,POINT (-91.104780183796 30.398780534455),CITISCAPE APARTMENTS
"11070 MEAD RD, BLDG 11",BATON ROUGE,70816,,POINT (-91.058952384053 30.425356026775),WILLOWBEND LAKES APARTMENTS
"9116 GREAT SMOKY AVE, BLDG A",BATON ROUGE,70814,,POINT (-91.08721219477 30.475839183333),APARTMENTS
10209 AVENUE M,BATON ROUGE,70807,,POINT (-91.202207875672 30.537004913662),STERLING APARTMENTS
"2000 BRIGHTSIDE DR, BLDG 5",BATON ROUGE,70820,,POINT (-91.181331464788 30.388594181945),RETREAT AT BRIGHTSIDE APARTMENTS
4732 ALVIN DARK AVE,BATON ROUGE,70820,,POINT (-91.181230413419 30.392492687461),ESTABLISHMENT APARTMENTS (ALVIN DARK)
3614 S COTTAGES AVE,BATON ROUGE,70816,,POINT (-91.056359729875 30.420404698617),COTTAGES AT SOUTHFORK APARTMENTS
5465 GREENWELL ST,BATON ROUGE,70805,,POINT (-91.135637921999 30.502393173993),APARTMENTS
10231 THE GROVE BLVD,BATON ROUGE,70836,,POINT (-91.079230079767 30.386982734459),THE ADDISON APARTMENTS
4747 SOUTHPARK DR,BATON ROUGE,70816,,POINT (-91.059063681135 30.406345831312),SOUTHPARK APARTMENTS
1118 N ARDENWOOD DR,BATON ROUGE,70806,,POINT (-91.12705574763 30.459853010906),DALI PLACE APARTMENTS
6751 TITIAN AVE,BATON ROUGE,70806,,POINT (-91.12204434131 30.456274070725),THE PLAZA APARTMENTS
6768 FORD ST,BATON ROUGE,70811,,POINT (-91.123294470152 30.519712806074),FORD STREET PLACE APARTMENTS
"3002 MASON AVE, BLDG 125",BATON ROUGE,70805,,POINT (-91.161486702149 30.505614490774),MONTE SANO VILLAGE APARTMENTS
950 S FOSTER DR,BATON ROUGE,70806,,POINT (-91.136139184233 30.439806649103),SHADOW CREEK APARTMENTS
8686 COY AVE,BATON ROUGE,70810,,POINT (-91.122065904762 30.357211442719),BROUSSARD PLAZA APARTMENTS
8383 AIRLINE HWY,BATON ROUGE,70815,,POINT (-91.099930880395 30.459326614694),OAKLAND APARTMENTS
"9989 BURBANK DR, BLDG F",BATON ROUGE,70810,,POINT (-91.113680802893 30.359432421849),THE ARTS APARTMENTS AT BLUEBONNET PLACE
5443 ESSEN LN,BATON ROUGE,70809,,POINT (-91.105906089358 30.39822329443),SILVERSIDE PLANTATION APARTMENTS
15959 TIGER BEND RD,BATON ROUGE,70817,,POINT (-91.007870110681 30.391546803812),SHENANDOAH BEND APARTMENTS
3021 NORTH BLVD,BATON ROUGE,70806,,POINT (-91.157527895703 30.448644898238),APARTMENTS
5244 CLAYCUT RD,BATON ROUGE,70806,,POINT (-91.136140989903 30.441315595027),PATRICIAN APARTMENTS
2022 LOBDELL BLVD,BATON ROUGE,70806,,POINT (-91.117576756654 30.466049232331),ASPENS APARTMENTS
4250 MOHICAN-PRESCOTT XOVR,BATON ROUGE,70805,,POINT (-91.147182413735 30.485891240379),NEW BEGINNINGS APARTMENTS
1738 BRIGHTSIDE DR,BATON ROUGE,70820,,POINT (-91.178041589999 30.388092031822),BRIGHTSIDE MANOR APARTMENTS
3536 MARIE DR,BATON ROUGE,70806,,POINT (-91.152942962977 30.440288269397),THE VILLAS APARTMENTS
7939 JEFFERSON HWY,BATON ROUGE,70809,,POINT (-91.10531368604 30.427262387746),JEFFERSON EAST APARTMENTS
10330 CELTIC DR,BATON ROUGE,70809,,POINT (-91.075323928653 30.415083264536),CYPRESS PARK APARTMENTS
700 N 17TH ST,BATON ROUGE,70802,,POINT (-91.171263086576 30.45381528607),CAPITOL SQUARE APARTMENTS (EBRPHA)
9984 AVENUE I,BATON ROUGE,70807,,POINT (-91.197679456024 30.535218746486),CRESTWORTH PLACE APARTMENTS
1733 STARBOARD DR,BATON ROUGE,70820,,POINT (-91.131968021809 30.355828141463),APARTMENTS
8367 SIEGEN LN,BATON ROUGE,70810,,POINT (-91.071769288015 30.372006200733),SIEGEN CALAIS APARTMENTS
653 MONET DR,BATON ROUGE,70806,,POINT (-91.117732021363 30.455644175698),BOSLEY PLACE MONET 2 APARTMENTS
1074 N ARDENWOOD DR,BATON ROUGE,70806,,POINT (-91.126236603735 30.459133475846),DALI PLACE APARTMENTS
9083 GREAT SMOKY AVE,BATON ROUGE,70814,,POINT (-91.087658886322 30.476341636459),APARTMENTS
"4115 MOHICAN-PRESCOTT XOVR, BLDG 4",BATON ROUGE,70805,,POINT (-91.148398208092 30.485997892996),CHOCTAW LODGE APARTMENTS
"9116 GREAT SMOKY AVE, BLDG B",BATON ROUGE,70814,,POINT (-91.08701329819 30.475799583809),APARTMENTS
1058 N ARDENWOOD DR,BATON ROUGE,70806,,POINT (-91.127029009575 30.459149372885),DALI PLACE APARTMENTS
3223 N ARDENWOOD DR,BATON ROUGE,70805,,POINT (-91.13058491117 30.478240796213),APARTMENTS
1518 LA ANNIE DR,BATON ROUGE,70815,,POINT (-91.043683111274 30.466899212935),APARTMENTS
1060 N ARDENWOOD DR,BATON ROUGE,70806,,POINT (-91.127047526771 30.459738175467),DALI PLACE APARTMENTS
10666 SCOTLAND AVE,BATON ROUGE,70807,,POINT (-91.175500971129 30.541801921467),SCOTLAND VILLA APARTMENTS
1509 N MARQUE ANN DR,BATON ROUGE,70815,,POINT (-91.043258628384 30.466826059871),APARTMENTS
3654 S COTTAGES AVE,BATON ROUGE,70816,,POINT (-91.056361504681 30.419992267714),COTTAGES AT SOUTHFORK APARTMENTS
215 SHIP DR,BATON ROUGE,70806,,POINT (-91.115604539863 30.449735812312),APARTMENTS
640 CAROL MARIE DR,BATON ROUGE,70806,,POINT (-91.154501687721 30.442202781979),THE VILLAS APARTMENTS
"3002 MASON AVE, BLDG 127",BATON ROUGE,70805,,POINT (-91.160835192479 30.505646417819),MONTE SANO VILLAGE APARTMENTS
3298 GARNET DR,BATON ROUGE,70805,,POINT (-91.130917945126 30.479020624666),APARTMENTS
11412 BARD AVE,BATON ROUGE,70815,,POINT (-91.056963944467 30.46770105537),PARK PLACE ON BARD APARTMENTS
11378 BARD AVE,BATON ROUGE,70815,,POINT (-91.057227998656 30.467816111741),PARK PLACE ON BARD APARTMENTS
1957 N ARDENWOOD DR,BATON ROUGE,70806,,POINT (-91.130031563393 30.466071875887),ARDENWOOD VILLAGE APARTMENTS (EBRHA)
10342 CELTIC DR,BATON ROUGE,70809,,POINT (-91.076398059567 30.41420816859),CYPRESS PARK APARTMENTS
7141 CALUMET ST,BATON ROUGE,70805,,POINT (-91.118049629828 30.481624501467),APARTMENTS
7312 N JEFFERSON PLACE CIR,BATON ROUGE,70809,,POINT (-91.105430070699 30.419142006082),MAISON BOCAGE APARTMENTS AND TOWNHOMES
9983 AVENUE H,BATON ROUGE,70807,,POINT (-91.197306121593 30.535107394373),CRESTWORTH PLACE APARTMENTS
"5958 CADILLAC ST, BLDG 1113",BATON ROUGE,70811,,POINT (-91.130334970848 30.517184265745),CADILLAC STREET PLACE APARTMENTS
"12400 JEFFERSON HWY, BLDG 2",BATON ROUGE,70816,,POINT (-91.046521026851 30.393379564421),JEFFERSON LAKES APARTMENTS
505 UNIVERSITY WALK,BATON ROUGE,70802,,POINT (-91.185658907854 30.454102267895),MAISON ROUGE APARTMENTS
9889 HOOPER RD,CENTRAL,70818,,POINT (-91.076925104851 30.538411596701),TANGLEWOOD APARTMENTS
1690 NORTH BLVD,BATON ROUGE,70802,,POINT (-91.171899891061 30.447447440069),MID CITY GARDENS APARTMENTS
200 WATER ST,BATON ROUGE,70802,,POINT (-91.188537166219 30.436720967594),200 WATER STREET RESIDENCES (APARTMENTS)
7611 BLES AVE,BATON ROUGE,70810,,POINT (-91.109541097672 30.392997679908),APARTMENTS
7854 JEFFERSON PLACE BLVD,BATON ROUGE,70809,,POINT (-91.103442238534 30.419935965682),MAISON BOCAGE APARTMENTS AND TOWNHOMES
436 STEELE BLVD,BATON ROUGE,70806,,POINT (-91.151099286963 30.444847121977),FONTAINE APARTMENTS
10623 GLENSTONE CT,BATON ROUGE,70810,,POINT (-91.103496679578 30.366614121777),BLUEBONNET RIDGE APARTMENTS
1728 BRIGHTSIDE DR,BATON ROUGE,70820,,POINT (-91.177920291799 30.38893202568),BRIGHTSIDE MANOR APARTMENTS
1267 N FOSTER DR,BATON ROUGE,70806,,POINT (-91.140902081274 30.460326075821),PROVINCIAL NORTH APARTMENTS
10633 GLENSTONE CT,BATON ROUGE,70810,,POINT (-91.102865881785 30.366599624243),BLUBONNET RIDGE APARTMENTS
"12400 JEFFERSON HWY, BLDG 24",BATON ROUGE,70816,,POINT (-91.044933366232 30.391798603625),JEFFERSON LAKES APARTMENTS
1900 BLOUNT RD,BATON ROUGE,70807,,POINT (-91.17328574254 30.543657948632),SCOTLAND SQUARE APARTMENTS
3259 N ARDENWOOD DR,BATON ROUGE,70805,,POINT (-91.130590451275 30.47862653861),APARTMENTS
11111 N HARRELL'S FERRY RD,BATON ROUGE,70816,,POINT (-91.059940576771 30.433943465842),MURIEL CROSSING APARTMENTS
7878 LASALLE AVE,BATON ROUGE,70806,,POINT (-91.106692872998 30.434360902969),NORMANDY VILLAGE APARTMENTS
"11555 SOUTHFORK AVE, BLDG F",BATON ROUGE,70816,,POINT (-91.056818704335 30.423414538869),REGENCY CLUB APARTMENTS
5002 CLAYCUT RD,BATON ROUGE,70806,,POINT (-91.137469735245 30.441014240289),PATRICIAN APARTMENTS
"10245 AIRLINE HWY, BLDG C",BATON ROUGE,70816,,POINT (-91.07038204456 30.419454770576),ROYAL PALMS APARTMENTS
12020 FLORIDA BLVD,BATON ROUGE,70815,,POINT (-91.04944409032 30.458968192938),SUMMER GROVE APARTMENTS 1
3270 GARNET DR,BATON ROUGE,70805,,POINT (-91.130919268151 30.478787601801),APARTMENTS
5208 CLAYCUT RD,BATON ROUGE,70806,,POINT (-91.135987678633 30.440467896064),PATRICIAN APARTMENTS
11394 BARD AVE,BATON ROUGE,70815,,POINT (-91.05723250318 30.467535503458),PARK PLACE ON BARD APARTMENTS
1124 N ARDENWOOD DR,BATON ROUGE,70806,,POINT (-91.126871421174 30.46034377587),DALI PLACE APARTMENTS
1313 N FOSTER DR,BATON ROUGE,70806,,POINT (-91.140063225024 30.460625215297),PROVINCIAL NORTH APARTMENTS
"12400 JEFFERSON HWY, BLDG 15",BATON ROUGE,70816,,POINT (-91.042250951443 30.39297037648),JEFFERSON LAKES APARTMENTS
"2000 BRIGHTSIDE DR, BLDG 6",BATON ROUGE,70820,,POINT (-91.181333672059 30.389327111425),RETREAT AT BRIGHTSIDE APARTMENTS
11517 COTTAGEVIEW LN,BATON ROUGE,70816,,POINT (-91.05605336158 30.421014048281),COTTAGES AT SOUTHFORK APARTMENTS
4944 S SHERWOOD FOREST BLVD,BATON ROUGE,70816,,POINT (-91.052761213685 30.408987736879),21 PARKVIEW SOUTH APARTMENTS
672 CAROL MARIE DR,BATON ROUGE,70806,,POINT (-91.154126284538 30.441665942529),THE VILLAS APARTMENTS
4141 BURBANK DR,BATON ROUGE,70808,,POINT (-91.176987729001 30.402578029597),BORDEAUX APARTMENTS
"6444 JONES CREEK RD, BLDG 24",BATON ROUGE,70817,,POINT (-91.018327838747 30.39588961263),IVY PARK APARTMENTS
"2000 BRIGHTSIDE DR, BLDG 21",BATON ROUGE,70820,,POINT (-91.179583109836 30.389198123322),RETREAT AT BRIGHTSIDE APARTMENTS
"1741 BRIGHTSIDE DR, BLDG D",BATON ROUGE,70820,,POINT (-91.178349269967 30.385872728294),THE GATES AT BRIGHTSIDE APARTMENTS
4735 GOVERNMENT ST,BATON ROUGE,70806,,POINT (-91.141005836196 30.445540387044),VIEUX CARRE APARTMENTS
10530 FLORIDA BLVD,BATON ROUGE,70815,,POINT (-91.067524041502 30.455540613194),BROADMOOR PLANTATION APARTMENTS
626 S ACADIAN THWY,BATON ROUGE,70806,,POINT (-91.153494434256 30.44242585379),THE VILLAS APARTMENTS
1237 N FOSTER DR,BATON ROUGE,70806,,POINT (-91.140777879721 30.459871549016),PROVINCIAL NORTH APARTMENTS
"12400 JEFFERSON HWY, BLDG 14",BATON ROUGE,70816,,POINT (-91.042616904358 30.39314645982),JEFFERSON LAKES APARTMENTS
"3002 MASON AVE, BLDG 102",BATON ROUGE,70805,,POINT (-91.160291487134 30.506758000169),MONTE SANO VILLAGE APARTMENTS
4051 HIGHLAND RD,BATON ROUGE,70808,,POINT (-91.174317586907 30.410305796367),459 COMMONS APARTMENTS
390 W ROOSEVELT ST,BATON ROUGE,70802,,POINT (-91.181342663313 30.421949394351),APARTMENTS
2747 HURON ST,BATON ROUGE,70805,,POINT (-91.161733798223 30.477593494621),SHARON ARM APARTMENTS
8820 GREENWELL SPRINGS RD,BATON ROUGE,70814,,POINT (-91.093757778881 30.481310876279),MAGNOLIA GARDENS APARTMENTS
7563 N JEFFERSON PLACE CIR,BATON ROUGE,70809,,POINT (-91.106351680288 30.419988569385),MAISON BOCAGE APARTMENTS AND TOWNHOMES
811 N ARDENWOOD DR,BATON ROUGE,70806,,POINT (-91.129824435889 30.456601938571),DRAKES LANDING APARTMENTS
10600 LAKES BLVD,BATON ROUGE,70810,,POINT (-91.106750659948 30.354904754142),LAKES AT BLUEBONNET APARTMENTS
6962 TITIAN AVE,BATON ROUGE,70806,,POINT (-91.11904909757 30.455750956158),CAPRI APARTMENTS
406 W ROOSEVELT ST,BATON ROUGE,70802,,POINT (-91.181468974971 30.421944179296),APARTMENTS
11070 MEAD RD,BATON ROUGE,70816,,POINT (-91.058649708673 30.426488441512),WILLOWBEND LAKES APARTMENTS
"11070 MEAD RD, BLDG 5",BATON ROUGE,70816,,POINT (-91.058366461817 30.42649018289),WILLOWBEND LAKES APARTMENTS
3544 MARIE DR,BATON ROUGE,70806,,POINT (-91.152691644615 30.440299695801),THE VILLAS APARTMENTS
5734 SATINWOOD DR,BATON ROUGE,70812,,POINT (-91.123935189145 30.502904881165),APARTMENTS
"15580 GEORGE O'NEAL RD, BLDG 5",BATON ROUGE,70817,,POINT (-91.013051034243 30.405544253305),SPRING BROOK APARTMENTS
11888 LONGRIDGE AVE,BATON ROUGE,70816,,POINT (-91.048601935714 30.421240605492),THE VILLAS AT STONE CREEK APARTMENTS
"11510 SOUTHFORK AVE, BLDG 1",BATON ROUGE,70816,,POINT (-91.056730380486 30.421033668665),COTTAGES AT SOUTHFORK APARTMENTS
8387 SIEGEN LN,BATON ROUGE,70810,,POINT (-91.070154581749 30.37226904395),SIEGEN CALAIS APARTMENTS
6765 CORPORATE BLVD,BATON ROUGE,70809,,POINT (-91.122451950887 30.426417766893),THE RESERVE AT CEDAR LODGE APARTMENTS
5216 CLAYCUT RD,BATON ROUGE,70806,,POINT (-91.136078247899 30.440613906781),PATRICIAN APARTMENTS
1722 BRIGHTSIDE DR,BATON ROUGE,70820,,POINT (-91.177094250607 30.388791409487),BRIGHTSIDE MANOR APARTMENTS
584 STEELE BLVD,BATON ROUGE,70806,,POINT (-91.150914275257 30.443362072429),STEELE MANOR APARTMENTS
"11555 SOUTHFORK AVE, BLDG M",BATON ROUGE,70816,,POINT (-91.055583609289 30.421650172583),REGENCY CLUB APARTMENTS
5124 CLAYCUT RD,BATON ROUGE,70806,,POINT (-91.136555329096 30.441251378712),PATRICIAN APARTMENTS
740 W CHIMES ST,BATON ROUGE,70802,,POINT (-91.184754378382 30.418137508281),UNIVERSITY HOUSE APARTMENTS
525 ASTER ST,BATON ROUGE,70802,,POINT (-91.182330130201 30.418634394143),WEST CAMPUS APARTMENTS BLDG #12
7723 BLES AVE,BATON ROUGE,70810,,POINT (-91.10858250551 30.392455885937),APARTMENTS
622 CAROL MARIE DR,BATON ROUGE,70806,,POINT (-91.154700333503 30.442440221914),THE VILLAS APARTMENTS
11021 PLANK RD,BATON ROUGE,70811,,POINT (-91.141335561175 30.545651210767),EDGEWOOD PLACE APARTMENTS
1910 BRADFIELD AVE,BATON ROUGE,70807,,POINT (-91.173902453121 30.556679143431),VILLAGE GREEN APARTMENTS 5
1295 N FOSTER DR,BATON ROUGE,70806,,POINT (-91.140532874009 30.460604989659),PROVINCIAL NORTH APARTMENTS
1255 N FOSTER DR,BATON ROUGE,70806,,POINT (-91.140891485018 30.460132155506),PROVINCIAL NORTH APARTMENTS
11438 BARD AVE,BATON ROUGE,70815,,POINT (-91.056840742996 30.467816914894),PARK PLACE ON BARD APARTMENTS
1171 MONET DR,BATON ROUGE,70806,,POINT (-91.117767266526 30.460768839389),MELROSE EAST APARTMENTS
7421 N JEFFERSON PLACE CIR,BATON ROUGE,70809,,POINT (-91.106635101742 30.418746758723),MAISON BOCAGE APARTMENTS AND TOWNHOMES
16441 S HARRELL'S FERRY RD,BATON ROUGE,70816,,POINT (-91.003063674574 30.428483471539),RESERVE AT WHITE OAK APARTMENTS
11547 COTTAGECREEK RD,BATON ROUGE,70816,,POINT (-91.055574593311 30.41947335962),COTTAGES AT SOUTHFORK APARTMENTS
1726 BRIGHTSIDE DR,BATON ROUGE,70820,,POINT (-91.177472569034 30.388835844951),BRIGHTSIDE MANOR APARTMENTS
4617 NORTH BLVD,BATON ROUGE,70806,,POINT (-91.14231710505 30.449176878057),MID CITY FLATS APARTMENTS
1510 LA ANNIE DR,BATON ROUGE,70815,,POINT (-91.043578991073 30.466895515524),APARTMENTS
"2000 BRIGHTSIDE DR, BLDG 2",BATON ROUGE,70820,,POINT (-91.181747194765 30.388805303737),RETREAT AT BRIGHTSIDE APARTMENTS
6765 CORPORATE BLVD,BATON ROUGE,70809,,POINT (-91.122451950887 30.426417766893),THE RESERVE AT CEDAR LODGE APARTMENTS
5173 BAKER BLVD,BAKER,70714,,POINT (-91.146106073852 30.595467050026),GREENWOOD FOREST APARTMENTS
1730 N MARQUE ANN DR,BATON ROUGE,70815,,POINT (-91.042604325954 30.468846354992),CHERRY CREEK APARTMENTS
3030 JULY ST,BATON ROUGE,70808,,POINT (-91.1732202877 30.420045218966),COVENTRY TERRACE APARTMENTS
"5958 CADILLAC ST, BLDG 1117",BATON ROUGE,70811,,POINT (-91.129458440641 30.517520769991),CADILLAC STREET PLACE APARTMENTS
"6444 JONES CREEK RD, BLDG 5",BATON ROUGE,70817,,POINT (-91.019827413291 30.394889029703),IVY PARK APARTMENTS
1215 W CHIMES ST,BATON ROUGE,70802,,POINT (-91.189873460408 30.418296870172),WEST CHIMES PLACE 5 APARTMENTS
3476 N SHERWOOD FOREST DR,BATON ROUGE,70814,,POINT (-91.057697886627 30.483163534453),PARK FOREST EAST APARTMENTS
3631 COTTAGEWOOD DR,BATON ROUGE,70816,,POINT (-91.056742634371 30.420268473021),COTTAGES AT SOUTHFORK APARTMENTS
"12400 JEFFERSON HWY, BLDG 7",BATON ROUGE,70816,,POINT (-91.045251374772 30.393256299746),JEFFERSON LAKES APARTMENTS
6929 COMMERCE CIR,BATON ROUGE,70809,,POINT (-91.120552926451 30.42855769076),THE ENCLAVE AT CEDAR LODGE APARTMENTS
"422 LONGWOOD CT, APTS E-H",BATON ROUGE,70806,,POINT (-91.143935835829 30.44519495844),LONGWOOD COURT APARTMENTS
"2000 BRIGHTSIDE DR, BLDG 14",BATON ROUGE,70820,,POINT (-91.180672040259 30.388853120377),RETREAT AT BRIGHTSIDE APARTMENTS
1362 BRIGHTSIDE DR,BATON ROUGE,70820,,POINT (-91.173847074378 30.388237010269),APARTMENTS
1285 N FOSTER DR,BATON ROUGE,70806,,POINT (-91.140774284424 30.460593934563),PROVINCIAL NORTH APARTMENTS
10534 N OAK HILLS PKWY,BATON ROUGE,70810,,POINT (-91.103330142913 30.369591633348),APARTMENTS
20151 OLD SCENIC HWY,ZACHARY,70791,,POINT (-91.193909046676 30.65160452023),ZACHARY PARKSIDE APARTMENTS
5423 ESSEN LN,BATON ROUGE,70809,,POINT (-91.106806048921 30.398925900926),COBBLESTONE AT ESSEN APARTMENTS
4276 ARNOLD LN,BATON ROUGE,70809,,POINT (-91.067877920363 30.412004809976),COURLANDS APARTMENTS
"3002 MASON AVE, BLDG 128",BATON ROUGE,70805,,POINT (-91.160834694932 30.505932604087),MONTE SANO VILLAGE APARTMENTS
5139 BAKER BLVD,BAKER,70714,,POINT (-91.146291928923 30.594241650309),GREENWOOD FOREST APARTMENTS
1259 N FOSTER DR,BATON ROUGE,70806,,POINT (-91.140897950169 30.460192997327),PROVINCIAL NORTH APARTMENTS
11888 LONGRIDGE AVE,BATON ROUGE,70816,,POINT (-91.048601935714 30.421240605492),THE VILLAS AT STONE CREEK APARTMENTS
10624 GLENSTONE CT,BATON ROUGE,70810,,POINT (-91.103755439639 30.365886870637),BLUEBONNET RIDGE APARTMENTS
3371 ALASKA ST,BATON ROUGE,70802,,POINT (-91.182999320107 30.418054218383),WEST CAMPUS APARTMENTS BLDG #5
7451 PLANK RD,BATON ROUGE,70807,,POINT (-91.149026655568 30.51780893955),THE RESERVE AT HOWELL PLACE APARTMENTS
4643 SYCAMORE ST,BATON ROUGE,70805,,POINT (-91.143599077453 30.495121014581),SYCAMORE APARTMENTS
4386 JEFFERSON ST,BAKER,70714,,POINT (-91.153764537738 30.589849029005),SYCAMORE SUITES APARTMENTS
"3002 MASON AVE, BLDG 140",BATON ROUGE,70805,,POINT (-91.16149910566 30.505945270173),MONTE SANO VILLAGE APARTMENTS
6810 JEFFERSON HWY,BATON ROUGE,70806,,POINT (-91.119373074518 30.433340150888),THE MILLENNIUM TOWNE CENTER APARTMENTS
9895 FLORIDA BLVD,BATON ROUGE,70815,,POINT (-91.076427766987 30.456757710324),MIRAGE VILLAGE APARTMENTS
1854 NORTH ST,BATON ROUGE,70802,,POINT (-91.169990017582 30.452775163313),THE CORONA APARTMENTS
5160 CLAYCUT RD,BATON ROUGE,70806,,POINT (-91.136748662692 30.44078393617),PATRICIAN APARTMENTS
"12400 JEFFERSON HWY, BLDG 12",BATON ROUGE,70816,,POINT (-91.043418990035 30.393268726026),JEFFERSON LAKES APARTMENTS
5210 CLAYCUT RD,BATON ROUGE,70806,,POINT (-91.135936499551 30.440671582744),PATRICIAN APARTMENTS
